"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","399-C1206C104K5RAC7800CT-ND","C1206C104K5RAC7800","CAP CER 0.1UF 50V X7R 1206","C1","10","0","0.06700","0.67"
"2","10","732-5013-ND","151033RS03000","LED RED CLEAR 3MM ROUND T/H","D1,D2","10","0","0.18000","1.80"
"3","3","4411-CN0293-ND","CN0293","1602 LCD","DS1","3","0","7.33000","21.99"
"4","5","2057-PH2-06-UA-ND","PH2-06-UA","CONN HEADER VERT 6POS 2.54MM","J1","5","0","0.13000","0.65"
"5","5","2057-PH1-06-UA-ND","PH1-06-UA","CONN HEADER VERT 6POS 2.54MM","J2","5","0","0.13000","0.65"
"6","3","1568-1838-ND","COM-10597","KNOB KNURLED 0.236"" PLASTIC","N1","3","0","1.05000","3.15"
"7","10","311-10.0KFRCT-ND","RC1206FR-0710KL","RES 10K OHM 1% 1/4W 1206","R1","10","0","0.03800","0.38"
"8","25","A106077CT-ND","CRG1206F470R","RES SMD 470 OHM 1% 1/4W 1206","R2,R3,R4,R5,R6","25","0","0.04100","1.03"
"9","3","3266W-103LF-ND","3266W-1-103LF","TRIMMER 10K OHM 0.25W PC PIN TOP","RV1","3","0","4.20000","12.60"
"10","12","CH160-ND","MX1A-11NW","SWITCH PUSH SPST-NO 0.01A 12V","SW1,SW2,SW3,SW4","12","0","0.88600","10.63"
"11","3","PEL12D-4225S-S2024-ND","PEL12D-4225S-S2024","ROTARY ENCODER MECHANICAL 24PPR","SW5","3","0","4.48000","13.44"
"12","3","ATMEGA328P-PU-ND","ATMEGA328P-PU","IC MCU 8BIT 32KB FLASH 28DIP","U3","3","0","2.89000","8.67"